Recency,Monetary,Frequency
326,77183.6,1
40,4310.0,182
76,1797.24,31
19,1757.55,73
311,334.4,17
73,2506.04,85
205,89.0,4
233,1079.4,58
96,459.4,13
23,2811.43,59
182,6207.67,131
3,1168.06,19
9,6372.58,248
53,2662.06,129
288,189.9,10
30,5226.23,266
36,552.0,23
41,1313.1,85
292,641.38,22
212,168.9,11
52,3545.69,167
30,1887.96,63
35,1298.04,52
342,364.6,14
26,742.9300000000001,33
11,457.5,17
316,1628.12,77
305,4008.62,219
82,852.24,40
22,2724.81,104
0,1845.31,87
9,1850.56,99
29,585.27,27
192,401.9,10
16,2780.66,100
80,549.84,32
22,460.89,100
39,1582.6000000000001,64
153,1272.48,27
5,3018.63,156
136,2409.9,126
46,1635.6599999999999,85
2,1108.65,59
99,84.3,5
324,225.6,11
50,427.7,5
149,1710.39,54
23,3415.3,105
50,1708.1200000000001,77
152,2888.55,105
65,11072.67,109
252,693.3299999999999,26
75,1226.88,61
192,758.1,38
188,562.41,18
25,124914.53,714
40,3649.1,192
113,668.58,34
153,600.39,29
16,807.04,45
169,803.5600000000001,39
89,1859.31,125
163,1760.96,30
79,777.2,36
195,582.73,30
22,825.8,31
26,7956.46,294
10,3750.4,97
44,256.4,11
2,6487.45,235
43,5059.32,108
10,13375.87,420
85,806.14,50
80,7829.89,36
335,509.01,16
9,4951.41,199
15,2906.85,98
485,173.55,11
181,172.06,12
0,5005.46,176
23,133.4,4
58,1002.3100000000001,57
67,476.49,26
45,449.45,22
23,4067.29,191
174,197.88,8
11,9035.52,354
17,430.57,22
135,707.09,43
57,3528.34,15
74,2466.86,90
45,3181.04,125
82,2363.23,62
72,947.4,38
125,826.88,35
19,1189.59,62
6,1344.78,83
11,1212.05,29
18,742.1899999999999,47
218,729.5400000000001,38
11,19824.05,460
52,6572.11,339
54,3938.5499999999997,168
3,7375.79,424
54,723.38,36
16,6816.42,233
23,13219.74,300
181,680.99,36
12,527.2,31
29,3281.63,154
23,5596.32,217
18,2484.98,75
101,4541.72,346
10,1298.66,55
162,334.93,15
18,5417.93,245
333,460.40000000000003,26
106,263.21000000000004,20
166,433.74,22
16,1246.1000000000001,77
82,1043.1,14
22,403.70000000000005,23
24,4257.82,61
162,2169.39,149
188,3723.87,147
19,482.04999999999995,9
233,73.5,23
135,1304.81,21
27,398.27,69
285,176.5,7
143,982.5699999999999,33
244,138.03,34
113,612.29,35
268,1017.68,51
354,383.7,16
4,1312.06,26
29,2502.84,284
0,2056.89,124
153,340.84,18
37,2634.26,152
143,599.68,38
40,192.72,12
9,1789.77,106
10,4485.72,144
54,1316.66,71
82,348.71000000000004,18
10,1933.48,92
30,1662.28,66
15,125.22,17
90,349.83000000000004,16
336,1089.18,63
92,716.35,34
30,12601.830000000002,261
60,363.95,21
23,5568.35,273
20,13400.24,478
60,981.18,52
274,372.7,19
76,1000.39,50
47,1161.5,69
198,207.79999999999998,8
167,95.19999999999999,5
80,964.83,57
358,168.0,10
40,437.82,20
0,3692.28,191
33,603.71,121
17,11990.960000000001,33
301,269.96,11
311,561.71,21
113,2134.01,105
69,238.85,16
23,3781.7400000000002,168
262,456.9,21
289,145.92,9
87,351.65,19
23,9401.28,446
0,4124.69,188
40,519.61,34
52,1020.42,60
228,160.54000000000002,28
316,218.45,11
130,1315.83,88
243,657.8,147
22,2794.51,114
79,440.42,29
159,415.7,24
40,197.71,15
239,511.36,22
0,7281.38,247
18,2338.15,96
235,2040.1,87
18,196.94000000000003,11
301,144.0,4
40,214.89999999999998,10
29,646.68,35
5,9864.26,68
318,452.84999999999997,26
66,437.6,18
109,418.09999999999997,21
47,3338.2200000000003,118
36,618.27,27
20,3811.22,206
10,3023.08,132
33,1032.58,62
29,2599.04,64
39,577.0600000000001,28
0,153.12,12
22,739.1999999999999,2
80,254.18,16
61,1579.51,101
79,1126.85,60
23,2099.54,106
53,1193.32,65
75,704.0400000000001,19
58,3344.38,153
160,315.6,20
72,2291.19,105
215,713.3,32
60,355.53,42
22,177.31,11
17,3641.24,90
15,1339.41,92
5,13689.67,467
233,180.1,11
129,305.1,18
107,641.13,38
5,2683.82,86
24,6620.48,294
11,4478.53,230
182,786.46,41
10,1270.88,64
58,640.5,31
0,2163.98,101
31,1689.18,101
92,6021.9,390
182,671.69,39
239,486.1,22
24,1174.58,53
116,185.9,10
26,1013.26,47
39,3344.64,24
305,477.91,31
110,1775.18,73
50,1346.97,45
23,3722.82,121
125,318.05,21
35,623.51,31
181,314.44,20
100,114.0,9
9,919.98,48
149,2209.85,43
11,601.98,38
18,4051.17,126
12,1643.18,47
19,686.05,36
60,91.68,5
12,245.1,13
24,3849.78,230
0,4881.88,37
325,63.0,3
0,620.13,33
12,3807.15,161
3,2744.0299999999997,101
11,2996.05,92
330,225.89999999999998,10
242,610.52,42
92,1970.6,83
25,1331.39,45
43,17628.46,165
0,1113.02,48
31,862.81,52
15,13787.54,638
2,12288.22,525
5,8476.57,344
25,2283.63,105
29,2863.08,157
638,89.14,7
114,4873.8099999999995,171
26,1247.61,72
206,389.01,16
0,1035.8,32
5,855.91,39
71,869.67,37
108,582.1,27
29,957.59,41
127,4939.99,268
36,797.71,53
20,219.0,12
72,283.55,21
23,2340.84,88
16,6868.29,334
292,603.42,33
60,2712.91,157
0,9736.52,208
202,1149.02,77
9,4396.13,133
89,848.55,38
10,4708.86,259
107,353.86,21
134,1053.49,69
33,1030.98,55
72,238.25,19
214,644.95,39
3,5781.73,354
80,2656.13,161
3,997.63,53
17,725.07,69
39,1031.41,53
638,427.8,24
29,2609.1,124
11,3980.7,139
39,836.33,46
114,453.01,26
24,18895.91,274
180,236.26000000000002,12
235,383.95,22
353,110.39999999999999,4
192,779.5699999999999,43
39,234.0,4
666,155.35,11
79,1013.04,38
153,427.6,27
135,546.43,134
52,21279.29,222
23,4196.01,103
5,33719.73,4595
23,4090.88,199
277,275.88,15
82,4366.78,53
23,21429.39,197
160,3010.74,63
251,3811.95,4
87,112.07999999999998,4
5,7857.1,371
117,2791.59,97
53,1531.44,95
26,1898.52,69
139,494.08,18
317,1693.88,45
58,6989.63,310
239,1143.6,32
211,1351.45,12
30,892.47,55
18,1386.04,66
20,822.23,50
199,3981.36,149
153,826.74,25
150,2330.92,103
54,2225.91,84
10,574.42,59
424,311.95,14
10,463.66,20
214,91.85,4
193,324.92,21
697,192.60000000000002,2
257,400.53999999999996,25
100,545.48,24
54,860.41,45
19,430.48,14
454,254.03,13
11,6977.04,8
187,427.58,25
126,483.65000000000003,28
178,489.31,25
261,514.85,31
45,229.64000000000001,15
102,125.92,2
148,1063.46,47
177,572.2,29
282,166.04,4
262,1542.08,14
45,942.34,59
96,92.72,6
71,948.88,46
75,1759.5,5
30,397.12,25
60,1474.72,91
45,430.15000000000003,25
113,1018.71,56
162,293.0,11
92,6814.64,38
263,215.05,9
152,383.03,27
146,417.38,24
310,312.38,18
30,2612.86,175
174,134.1,12
182,683.13,123
12,5591.42,314
65,2726.77,113
4,4022.35,420
71,1118.99,34
66,1702.26,103
60,325.96000000000004,52
268,354.09,27
23,871.54,91
121,1050.8899999999999,51
245,135.18,50
295,311.55,17
135,1957.1000000000001,78
6,1324.5,110
666,38.1,3
19,2179.93,314
69,1106.4,46
53,521.2,5
139,147.12,3
27,1568.23,95
341,559.12,26
27,4036.82,538
9,1607.0600000000002,107
85,380.64,11
327,599.97,66
310,374.0,4
144,343.2300000000001,2
58,2218.02,85
25,1535.77,154
237,854.99,47
45,573.22,10
98,298.0,7
10,1463.04,13
25,703.47,42
1,309.05,7
124,1175.22,71
249,1378.4,82
96,354.12,5
25,380.46999999999997,82
157,331.0,3
90,188.14,34
43,372.8,22
38,216.5,4
11,17654.54,116
265,138.68,10
19,509.58,72
12,2919.81,63
177,750.0,2
40,2178.67,91
6,3075.04,75
15,1662.3,24
16,2483.63,50
149,363.65,22
139,3006.15,107
277,594.0,2
3,1335.19,50
18,164.23,28
10,16587.09,720
337,405.38,28
183,176.97,29
1,933.7,30
75,694.05,45
6,2062.7000000000003,84
342,117.85,8
79,415.8,25
22,42055.96,82
25,607.53,106
27,2160.7,129
18,1063.9,62
16,1504.27,120
26,114.14,9
37,11581.8,47
55,913.54,99
132,683.9,75
243,604.51,30
289,462.95,23
65,1603.99,97
17,2064.95,116
90,4167.22,215
25,1843.0,23
174,1064.07,63
44,1387.79,79
10,329.85,17
17,4757.16,180
191,108.07,19
10,4017.54,238
114,266.39,16
11,1856.63,95
31,771.91,109
10,160.18,10
359,1660.9,19
113,135.95,5
301,452.24,151
9,11189.91,305
198,144.8,8
